scaffold,n_molecules,mean_reward,max_reward,min_reward,std_reward
c1cc2c(cc1N1C[C@H]3CNC[C@H]3C1)OCCO2,1,2.1692285537719727,2.1692285537719727,2.1692285537719727,
c1csc(N2CCOCC2)c1,1,2.168179988861084,2.168179988861084,2.168179988861084,
c1cncc(OC2CCNCC2)c1,1,2.1678123474121094,2.1678123474121094,2.1678123474121094,
C1CC(C2CCNCC2)CCN1,1,2.1675517559051514,2.1675517559051514,2.1675517559051514,
[CH]1CCN(c2ccc3c(c2)OCCO3)C1,2,2.167116165161133,2.170133352279663,2.1640989780426025,0.0042669469432429115
c1ccc(-c2ccc3c(c2)OCCO3)nc1,2,2.1668543815612793,2.169600486755371,2.1641082763671875,0.0038835792091878197
c1csc(N2CCCOCC2)c1,3,2.1647489865620932,2.1784005165100098,2.150298595428467,0.014067982318507652
c1cc2c(cc1N1CCCC1)OCCO2,1,2.1639158725738525,2.1639158725738525,2.1639158725738525,
O=C1OCC[C@@]12CCNC2,1,2.163492202758789,2.163492202758789,2.163492202758789,
C1CCCN(CCN2CCCOCC2)CC1,2,2.1625280380249023,2.165620803833008,2.159435272216797,0.0043738313510665395
c1cc2c(cc1N1CCCC3(CC3)C1)OCCO2,1,2.162353038787842,2.162353038787842,2.162353038787842,
O=C(c1cnn2c1OCCC2)N1CCCOCC1,1,2.1617605686187744,2.1617605686187744,2.1617605686187744,
C1COCCN(OC2CCNCC2)C1,1,2.1616313457489014,2.1616313457489014,2.1616313457489014,
C1CC2(C1)C[C@@H]1CCO[C@@H]12,1,2.1610348224639893,2.1610348224639893,2.1610348224639893,
c1coc(-c2ccc3c(c2)OCCO3)c1,1,2.1607537269592285,2.1607537269592285,2.1607537269592285,
c1cc2n(n1)CCCO2,1,2.158961534500122,2.158961534500122,2.158961534500122,
C1CCCNCC1,2,2.158215641975403,2.166698694229126,2.1497325897216797,0.011996847547534922
C1CCNCC1,8,2.1579345166683197,2.1691603660583496,2.141859769821167,0.011113910899936538
C1CC(OC2CCNCC2)CCN1,1,2.157574415206909,2.157574415206909,2.157574415206909,
C1COCCN1,1,2.157398223876953,2.157398223876953,2.157398223876953,
O=C1OCC[C@@]12CCN(c1ccnnc1)C2,1,2.1571381092071533,2.1571381092071533,2.1571381092071533,
c1cncc(N2CCn3nccc3C2)c1,1,2.155827522277832,2.155827522277832,2.155827522277832,
c1nn2c(c1N1CCOCC1)OCCC2,1,2.1538469791412354,2.1538469791412354,2.1538469791412354,
c1cc(-c2ccc3c(c2)OCCO3)on1,1,2.152832508087158,2.152832508087158,2.152832508087158,
c1nocc1N1CCC[C@H]2CNCC[C@H]21,1,2.1526668071746826,2.1526668071746826,2.1526668071746826,
c1ccc(N2C[C]3CNC[C@@H]3C2)cc1,1,2.152503728866577,2.152503728866577,2.152503728866577,
c1cc(-c2ccc3c(c2)OCCO3)cnn1,1,2.1522624492645264,2.1522624492645264,2.1522624492645264,
c1nn2c(c1N1CCCOCC1)OCCC2,3,2.152076085408529,2.1659674644470215,2.144909381866455,0.012032317145570744
c1ccc(-c2cnn3c2OCCC3)cc1,1,2.151827812194824,2.151827812194824,2.151827812194824,
c1cc2c(cc1N1CCSCC1)OCCO2,1,2.1515088081359863,2.1515088081359863,2.1515088081359863,
c1ncc(N2CCCOCC2)[nH]1,1,2.1513924598693848,2.1513924598693848,2.1513924598693848,
O=C1OCC[C@@]12CCN(c1ccccc1)C2,1,2.1504557132720947,2.1504557132720947,2.1504557132720947,
c1cc2c(cc1N1CCNCC1)OCCO2,1,2.150092601776123,2.150092601776123,2.150092601776123,
c1ccc(-c2cccnc2)cc1,1,2.1490345001220703,2.1490345001220703,2.1490345001220703,
C1COCCN(CCC2CCNCC2)C1,1,2.1486852169036865,2.1486852169036865,2.1486852169036865,
c1cc2n(n1)CCN(c1cnn3c1OCCC3)C2,1,2.1481363773345947,2.1481363773345947,2.1481363773345947,
[CH]1CCCN(c2cccs2)C1,1,2.148090362548828,2.148090362548828,2.148090362548828,
c1csc(-c2ccc3c(c2)OCCO3)c1,2,2.1476773023605347,2.1520330905914307,2.1433215141296387,0.006160014790958228
C1CCN(CCN2CCCOCC2)CC1,1,2.147615909576416,2.147615909576416,2.147615909576416,
c1ccccc1,1,2.1475112438201904,2.1475112438201904,2.1475112438201904,
C1CCc2c(n[nH]c2N2CCCOCC2)C1,1,2.1466875076293945,2.1466875076293945,2.1466875076293945,
c1cnn(-c2ccc3c(c2)OCCO3)n1,1,2.1464526653289795,2.1464526653289795,2.1464526653289795,
c1cnc(-c2ccc3c(c2)OCCO3)cn1,1,2.1460795402526855,2.1460795402526855,2.1460795402526855,
c1ccsc1,2,2.1437278985977173,2.144996404647827,2.1424593925476074,0.0017939384600176936
O=c1[nH]ncn1-c1cccnc1,1,2.143235206604004,2.143235206604004,2.143235206604004,
c1cncc(-n2cccn2)c1,1,2.143146514892578,2.143146514892578,2.143146514892578,
c1ncc(N2CCOCC2)[nH]1,1,2.14255428314209,2.14255428314209,2.14255428314209,
O=C1OCC[C@@]12CCN(c1cccs1)C2,1,2.142500162124634,2.142500162124634,2.142500162124634,
[CH]1CCCN(c2cnn3c2OCCC3)C1,1,2.142266035079956,2.142266035079956,2.142266035079956,
c1nn2c(c1N1CCCCC1)OCCC2,1,2.142247200012207,2.142247200012207,2.142247200012207,
c1cncc(C2CCNCC2)c1,1,2.141782283782959,2.141782283782959,2.141782283782959,
C1COCCN(C2CCNCC2)C1,1,2.1413660049438477,2.1413660049438477,2.1413660049438477,
c1cnn(-c2ccc3c(c2)OCCO3)c1,1,2.1408581733703613,2.1408581733703613,2.1408581733703613,
