scaffold,n_molecules,mean_reward,max_reward,min_reward,std_reward
[CH]1CCCN(c2ccc3c(c2)OCCO3)C1,2,2.2122299671173096,2.2125511169433594,2.2119088172912598,0.00045417443955339407
c1cc2c(cc1N1CCCOCC1)OCCO2,3,2.2118988831837973,2.215456247329712,2.205613613128662,0.005458980215304789
c1ccc(-c2ccc3c(c2)OCCO3)cc1,1,2.204049587249756,2.204049587249756,2.204049587249756,
c1cncc(-c2ccc3c(c2)OCCO3)c1,1,2.203632354736328,2.203632354736328,2.203632354736328,
c1cc(-c2ccc3c(c2)OCCO3)ccn1,1,2.2030696868896484,2.2030696868896484,2.2030696868896484,
O=C1OCC[C@@]12CCN(c1cccnc1)C2,1,2.19875431060791,2.19875431060791,2.19875431060791,
C1COCCN(CC2CCNCC2)C1,1,2.1943750381469727,2.1943750381469727,2.1943750381469727,
c1ccc(N2CCCOCC2)cc1,1,2.189615249633789,2.189615249633789,2.189615249633789,
c1nn2c(c1C1CCNCC1)OCCC2,1,2.1880455017089844,2.1880455017089844,2.1880455017089844,
c1cc2c(cc1N1CCCCCC1)OCCO2,2,2.184816002845764,2.1864960193634033,2.183135986328125,0.0023759021442561184
c1cc2c(cc1C1CCNCC1)OCCO2,1,2.1838738918304443,2.1838738918304443,2.1838738918304443,
C1CNCCOC1,1,2.181539535522461,2.181539535522461,2.181539535522461,
c1cn2ccc(N3CCCOCC3)cc2n1,1,2.1804416179656982,2.1804416179656982,2.1804416179656982,
c1nn2c(c1N1CCCCCC1)OCCC2,2,2.179448366165161,2.1815903186798096,2.1773064136505127,0.003029178296174976
c1ccc2c(c1)OCCO2,4,2.177571654319763,2.201611280441284,2.1416800022125244,0.02551403738767006
c1ccc(OC2CCNCC2)cc1,2,2.176673650741577,2.19148588180542,2.1618614196777344,0.020947658059490507
c1cc2c(cc1N1CCOCC1)OCCO2,1,2.175293445587158,2.175293445587158,2.175293445587158,
c1cc2c(cc1N1CCCCC1)OCCO2,2,2.172557830810547,2.190807819366455,2.1543078422546387,0.025809381328919155
C1CCN(CCCN2CCCOCC2)C1,1,2.1725425720214844,2.1725425720214844,2.1725425720214844,
C1COCCN(CCN2CCCOCC2)C1,1,2.1711926460266113,2.1711926460266113,2.1711926460266113,
