fragment_smiles
[1*]C(=O)/C(=N\S(=O)(=O)c1ccccc1)C(F)(F)F
CC1=C[C@@H]2CC[C@H]1C1=C2C(=O)C=CC1=O
[5*]N1CCC[C@H]1[13*]
[15*][C@H]1C[C@H]1C
[8*]CN=c1ccc([N+](=O)[O-])c([14*])[nH]1
[4*]C[C@H]([4*])CCC
[15*][C@@H]1CC(=O)N(C)C1
[4*]C[C@@]([8*])(C)O
[8*][C@H](CCCO)N=c1cc[nH]c([14*])n1
[14*]c1cc([16*])c([N+](=O)[O-])[nH]1
[7*]C1C(=O)Nc2ccc([16*])cc21
[16*]c1ccc(Cl)nc1
[9*]n1cnnc1[S@@](C)=O
[4*]CCCC(=O)C(=O)O
O=C1c2ccccc2C(=O)c2c1nc1n(c2=O)CCCC1
COC1=CC(=O)C([C@@H]2OC(=O)C(Cl)=C2Cl)=CC1=O
[4*][C@H](C)C(=C)C
[9*]n1ccc([N+](=O)[O-])n1
[15*][C@@H]1CCC[C@@H]([S@](C)=O)C1
Cn1c(O)c(C2=c3ccccc3=NC2=O)c2ccccc21
[6*]C(=O)C(=O)N=c1ncn(C)[nH]1
[5*]N1CC[C@H]2OCCN([5*])[C@H]2C1
[5*]NC(=S)NNC1=c2ccccc2=NC1=O
[4*]C[C@H]([4*])C
[4*][C@]1([15*])CCOC1
[16*]c1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[16*]
O=S(=O)(O)/N=N/c1ccccc1F
[12*]S(=O)(=O)c1cc([14*])no1
[16*]c1ccncc1C
[14*]c1nc(O)c2cc(F)ccc2n1
[12*]S(=O)(=O)c1ccc([14*])o1
[15*][C@@H]1CCNC1=O
[5*]N1CCO[C@H](C#N)C1
[3*]ONC1=c2ccccc2=NC1=O
[4*][C@H](C)[C@H]([4*])C
[16*]c1ccc(F)c(F)c1F
[14*]c1cccc(=O)[nH]1
[5*]N1CC[C@@H]2COC(=O)N[C@H]2C1
[15*][C@@H]1CCC[C@H]([S@](C)=O)C1
N#CC(=O)C(=NNc1ccccc1Cl)C(=O)C#N
[16*]c1ccc([N+]([O-])=NC#N)cc1
[1*]C(=O)[C@H](C)[C@H]([4*])C
O=c1oc(=O)c2c1c1c(=O)oc(=O)c1c1c(=O)oc(=O)c21
[16*]c1cncnc1
[4*]CCC1=C(C)C(=O)C(=O)C(C)=C1C
[6*]C(=O)C(=O)N=c1[nH][nH]c(C)c1C#N
[5*]N1CCC(=O)CC1
[4*]CCCCO
[5*]N1CCC([15*])([15*])C1
[9*]n1nc([14*])oc1=O
[1*]C([1*])=O
[15*]C1CC(O)C1
[8*]C[S@@](C)=O
CONC1=c2ccc(Cl)c(Cl)c2=NC1=O
[15*][C@@H]1C[C@H]([15*])C12CCC2
[9*]n1nc([14*])nc2c(=O)n(C)c(=O)nc1-2
[10*]N1C[C@H]([15*])CC1=O
[14*]c1noc([14*])n1
[4*][C@@H](CC)C([6*])=O
[16*]c1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-]
[6*]C(=O)N(CC(C)(C)C)OC
O=c1sc(=O)c2sc3c(=O)sc(=O)c3sc12
[5*]N1CCOCC1
[15*][C@H]1CCCC[C@H]1O
O=[N+]([O-])c1cc[n+]([O-])c2c([N+](=O)[O-])cccc12
[7*]C1C(=O)NC(O)=NC1=S
[5*]N1[C@@H](C)C[C@@H]1C
O=[N+]([O-])c1cccc[n+]1[O-]
[9*]n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21
[5*]N1C[C@@H](C)[C@H](N)C1
[4*][C@@H](C)C[S@@](C)=O
[7*]C1C(=O)N(OC)c2ccccc21
[10*]N1C(=O)N[C@@]2(CCOC2)C1=O
CC1=NOC(=O)/C1=[N+](/[O-])O
Cn1nc(Cl)nc1[N+](=O)[O-]
[16*]c1cc(Br)c([N+](=O)[O-])cc1[N+](=O)[O-]
[9*]n1cnc(C#N)n1
[1*]C(=O)[C@@H](C)/N=C\c1c([16*])cnc(C)c1O
[14*]c1nnc(S)n1N=Cc1cc(C)ncn1
[16*]c1ccc(F)cc1
[4*]CCCC(=O)O
[15*][C@H]1CCOC1(C)C
